Word,Count
*,290
the,114
,57
@description,45
@memberof,37
is,35
chart,32
of,32
for,29
to,26
This,24
@member,22
array,21
<br>,20
{Array},19
used,17
an,15
@function,14
in,12
will,11
dataset,11
mainApp.mainCtrl,11
on,11
data,11
mapped,10
page,10
(,10
variable,10
a,10
unmapped,9
Local,9
all,9
client,9
clients,9
The,9
http://usejsdoc.org/,9
asynchronously,8
from,8
error,8
mainApp,8
associates,8
called,8
response,8
with,8
that,8
getAllClients,8
set,7
contains,7
number,7
status,7
clicked,7
Page,7
mainApp.clientMappedCtrl,6
object,6
mainApp.skillsetCtrl,6
labels,6
then,6
@class,6
when,6
database,6
controller,5
Mapped,5
),5
if,5
label,5
and,5
be,5
this,5
|,5
or,5
returns,4
based,4
shows,4
each,4
sum,4
service,4
/,4
mainApp.databaseCtrl,4
skillsets,4
available,4
callback,4
_|,4
)\,4
it,4
numbers:,4
server,4
mainApp.clientCtrl,4
populated,4
are,4
occurs,4
JavaScript,3
Unmapped,3
REST,3
skillset.html,3
clientOptions,3
Simple,3
deployed,3
function,3
GET,3
|_|,3
clientName,3
@param,3
as,3
Route,3
/(,3
clientData,3
numbers,3
charts,3
populate,3
statusID,3
clientSeries,3
request,3
mainApp.config,3
Array,3
store,3
name,3
id,3
clientColors,3
clientMapped.html,3
global,3
Client,3
type,3
create,3
using,3
clientLabels,3
selected,3
example:,3
{Integer},3
legend,3
which,2
batch,2
undeployed,2
List,2
decision,2
Associate,2
Handles,2
initialized,2
Populates,2
changeChartType,2
if-else-if,2
add,2
skillset,2
reflects,2
two,2
$scope,2
((_),2
mapped<br>,2
vs,2
loop,2
information,2
corresponding,2
\associates,\,2
buttons,2
MappedData,2
slice,2
selectedStatus,2
training,2
Details,2
clientMappedLabels,2
don't,2
empty,2
partial,2
Batch,2
structure,2
stores,2
identify,2
unmapped<br>,2
Undeployed,2
changes,2
value,2
you,2
marketing,2
Variables:,2
utilize,2
Deployed,2
window,2
'_|/,2
confirmed,2
UnmappedData,2
attribute,2
When,2
four,2
clientMappedData,2
{String},2
Removes,2
@property,2
loads,2
only,2
their,2
home,2
script,2
chosen,2
UndeployedData,2
DeployedData,2
changing,2
clientMappedLabel,1
URL,1
module,1
(_(_())(()\,1
modifies,1
Application,1
total,1
button,1
created,1
$routeProvider,1
describes,1
SF,1
_,1
names,1
reserved,1
determine,1
varying,1
Configure,1
getAllClientNames,1
skillsetLabels,1
chartType,1
|/,1
adds,1
pull,1
find,1
\__|,1
deleteDB,1
sets,1
UnmappedLabels,1
`,1
\"\Unmapped"\\,1
polarArea,1
including,1
((_)((_)_,1
Skillset,1
/(_)),1
{Client},1
Start,1
String,1
scheme,1
user,1
getOneClient,1
color,1
path,1
bound,1
Controller,1
header,1
return,1
$scope.options,1
/batchDetails/:batchname,1
)(_)))(,1
app,1
above,1
))\,1
reflect,1
arrays,1
)\())(()/(,1
main,1
include,1
Create,1
strings,1
|_,1
bars,1
\],["\com"\,\,1
_|/,1
different,1
\|,1
binds,1
mainApp.batchCtrl,1
Listing,1
MappedOnClick,1
UndeployedLabels,1
populateDBSF,1
population,1
excluding,1
document,1
related,1
sends,1
generating,1
x-axis,1
respective,1
sent,1
DeployedLabels,1
search,1
should,1
Form,1
contain,1
options,1
((_)(_)),1
\___/|_|,1
/((_),1
single,1
received,1
redo,1
Truncates,1
searchValue,1
\"\Mapped"\\,1
Optional,1
parameter,1
|(_)(_),1
bind,1
display,1
|_\_\,1
(Example:,1
mainApp.skillsetData,1
-_),1
)(_)),1
angular,1
count,1
want,1
skillsetData,1
graph,1
(()\,1
pie,1
routeprovider,1
_`,1
MappedLabels,1
JSON,1
A,1
\[{'name':'Revature',\,1
params,1
styling,1
/batchListing,1
titles,1
Once,1
((_)\,1
Single,1
populateDB,1
searching,1
{service},1
displayed,1
bar,1
\___|,1
((_)|,1
open,1
HTML,1
Both,1
order,1
\'count':'100'},{'name':'Another','count':'100'}])\,1
)(,1
UnmappedOnClick,1
send,1
@namespace,1
\\__,_|\__|\,1
deletion,1
tables,1
ID,1
config,1
{,1
